name,network,longitude,latitude,intensity_mmi,pga,pgv,distance_km
Bulandshahr (Intensity IV),INTENSITY,77.73,28.46,4.0,0.3452,0.8443,901.291
Bhilwara (Intensity V),INTENSITY,74.4,25.21,5.0,1.8095,3.7319,434.338
Muli (Intensity VII),INTENSITY,71.46,22.55,7.0,12.9902,18.1764,143.388
Bitta (Intensity VIII),INTENSITY,69.03,23.26,8.0,24.252,39.7263,111.01
Unnao (Intensity III),INTENSITY,75.4,26.8,3.0,null,null,608.008
Dolia (Intensity VII),INTENSITY,71.47,22.56,7.0,12.9928,18.1776,143.271
Kumbakonam (Intensity IV),INTENSITY,79.18,10.96,null,null,null,1650.442
Unchahar (Intensity II),INTENSITY,81.63,25.86,2.0,null,null,1147.12
Sirohi (Intensity V),INTENSITY,72.54,24.53,5.0,2.1675,3.8148,232.223
Tharad (Intensity VIII),INTENSITY,71.63,24.45,8.0,22.6014,38.736,148.979
Vijayawada (Intensity III),INTENSITY,80.64,16.52,3.0,null,null,1299.782
Bakhasar (Intensity VII),INTENSITY,71.09,24.43,7.0,13.8461,18.5965,109.866
Vanthali (Intensity VII),INTENSITY,70.32,21.47,7.0,11.8785,17.6033,208.289
Beru (Intensity VIII),INTENSITY,69.26,23.3,8.0,25.7057,40.5631,87.067
Wandhia (Intensity IX),INTENSITY,70.59,23.24,9.0,54.9987,93.0894,38.165
Meghpar (Intensity VIII),INTENSITY,69.55,23.1,8.0,27.3021,41.4479,67.709
Godriyada (Intensity VIII),INTENSITY,70.12,23.43,8.0,43.1744,48.8404,2.467
Vithalpur,INTENSITY,72.17208,23.32201,6.0,7.0973,8.3757,170.503
Tada (Intensity II),INTENSITY,80.03,13.59,2.0,null,null,1473.842
Manjal (Intensity VIII),INTENSITY,69.43,23.23,8.0,26.8783,41.2164,72.277
Mothala (Intensity VIII),INTENSITY,69.13,23.21,8.0,24.7328,40.0065,102.278
Silvassa (Intensity V),INTENSITY,73.02,20.27,5.0,1.8095,3.7319,437.096
Alwar (Intensity IV),INTENSITY,76.69,27.67,4.0,0.3452,0.8443,767.678
Petlad,INTENSITY,72.84278,22.45732,5.0,1.9877,3.7748,262.573
Aligarh (Intensity IV),INTENSITY,78.09,27.88,4.0,0.3452,0.8443,896.516
Jasdan,INTENSITY,71.20065,22.01328,5.0,2.6073,3.9016,178.693
Ratnal (Intensity IX),INTENSITY,69.9,23.19,9.0,56.4492,93.9612,34.236
Kotai (Intensity IX),INTENSITY,69.78,23.37,9.0,56.7592,94.1457,33.462
Ghanshympur,INTENSITY,71.2063,22.92394,8.0,24.9651,40.1407,98.365
Pada Dhari,INTENSITY,70.60179,22.39411,7.0,13.6058,18.4802,118.195
Kota (Intensity V),INTENSITY,75.87,25.17,5.0,1.8095,3.7319,570.862
Dhrol,INTENSITY,70.37973,22.52547,7.0,14.2146,18.7722,98.46
Raichur (Intensity III),INTENSITY,77.42,16.34,3.0,null,null,1063.602
Vondh (Intensity X),INTENSITY,70.41,23.3,9.0,60.4502,96.294,25.726
Sirani Wandh (Intensity VIII),INTENSITY,70.56,23.82,8.0,34.7108,45.1693,24.859
Khambaliya (Intensity VII),INTENSITY,69.83,22.21,7.0,13.2276,18.2946,132.952
Krishnapatnam (Intensity IV),INTENSITY,80.12,14.29,4.0,0.3452,0.8443,1423.476
Dhaulpur (Intensity V),INTENSITY,77.88,26.7,5.0,1.8095,3.7319,818.657
Kodai (Intensity VIII),INTENSITY,69.36,22.88,8.0,25.0086,40.1657,97.652
Jhansi (Intensity IV),INTENSITY,78.57,25.45,4.0,0.3452,0.8443,839.366
Nadia (Intensity VII),INTENSITY,72.55,21.95,7.0,11.1853,17.2282,267.702
Jhinjhuwada (Intensity VIII),INTENSITY,71.65,23.35,8.0,23.8744,39.5036,118.524
Valia (Intensity VI),INTENSITY,73.15,21.57,6.0,6.1986,7.9793,341.476
Halvad (Intensity VIII),INTENSITY,71.18,23.02,8.0,25.5086,40.4515,89.909
Dudhai (Intensity IX),INTENSITY,70.12,23.31,9.0,69.5491,101.2526,14.329
Lakhmi (Intensity VIII),INTENSITY,71.83,24.32,8.0,22.2969,38.5483,157.654
Dharang (Intensity IX),INTENSITY,69.82,23.4,9.0,58.8647,95.3818,28.743
Lakhtar,INTENSITY,71.95066,22.88692,6.0,7.1886,8.4141,161.649
Sherdi (Intensity VIII),INTENSITY,69.33,23.01,8.0,25.3635,40.3689,92.075
Thiruvairu (Intensity IV),INTENSITY,79.1,10.88,null,null,null,1653.246
Dhama (Intensity VIII),INTENSITY,71.67,23.6,8.0,23.8562,39.4928,118.902
Rambagh (Intensity VII),INTENSITY,70.87,21.95,7.0,12.4382,17.8959,171.876
Kavi (Intensity VII),INTENSITY,72.63,22.23,7.0,11.3052,17.2942,256.051
Shillong (Intensity II),INTENSITY,91.56,25.34,2.0,null,null,2122.28
Samkhiali,INTENSITY,70.54075,23.25267,9.0,56.1061,93.7563,35.118
Poldiya (Intensity VIII),INTENSITY,69.24,23.06,8.0,25.0144,40.1691,97.558
Zainabad,INTENSITY,71.71207,23.24056,7.0,13.3747,18.3672,126.952
Jawaharnagar (Intensity IX),INTENSITY,70.0,23.37,9.0,71.2337,102.1242,12.967
Kolkata (Intensity II),INTENSITY,88.24,22.34,2.0,null,null,1806.392
Nirona (Intensity VIII),INTENSITY,69.52,23.46,8.0,28.2248,41.9442,58.938
Shingara (Intensity IX),INTENSITY,69.97,23.08,9.0,54.0582,92.5161,41.014
Ayyampettai (Intensity III),INTENSITY,79.18,10.9,3.0,null,null,1655.986
Bharuch (Intensity VII),INTENSITY,72.97,21.75,7.0,10.8842,17.0607,314.793
Batad,INTENSITY,71.52609,22.11256,5.0,2.5489,3.8908,184.532
Bharapar/pur (Intensity IX),INTENSITY,69.62,23.11,9.0,49.117,89.3941,61.189
Bapatla (Intensity II),INTENSITY,80.47,15.91,2.0,null,null,1327.98
Mithi (Intensity VI),INTENSITY,69.79,24.73,6.0,7.4066,8.5046,142.699
Dayapar (Intensity VII),INTENSITY,68.91,23.63,7.0,13.4802,18.419,122.856
Jaipur (Intensity V),INTENSITY,75.85,26.91,5.0,1.8095,3.7319,651.915
Khargoda (Intensity VII),INTENSITY,71.72,23.18,7.0,13.3136,18.3372,129.402
Santalpur,INTENSITY,71.16021,23.72582,7.0,15.4591,19.345,69.363
Sawai Madhopur (Intensity V),INTENSITY,76.32,26.03,5.0,1.8095,3.7319,646.957
Enthal Talav (Intensity IX),INTENSITY,70.35,23.24,9.0,58.6866,95.2783,29.109
Rai Barelly (Intensity III),INTENSITY,81.23,26.21,3.0,null,null,1116.381
Murbi,INTENSITY,70.84271,22.79864,8.0,25.5579,40.4795,89.187
Gurgaon (Intensity IV),INTENSITY,76.77,28.25,4.0,0.3452,0.8443,811.918
Badin (Intensity VI),INTENSITY,68.84,24.66,6.0,6.9559,8.3155,185.448
Bhadreswar (Intensity VIII),INTENSITY,69.89,22.9,8.0,27.9057,41.7737,61.803
Siddhapur (Intensity VII),INTENSITY,72.39,23.94,7.0,12.0488,17.6932,196.28
Hyderabad (Intensity II),INTENSITY,78.47,17.38,2.0,null,null,1062.266
Hajipeer (Intensity VII),INTENSITY,69.21,23.69,7.0,14.3572,18.8395,94.44
Dhora (Intensity VII),INTENSITY,69.19,23.57,7.0,14.388,18.8539,93.6
Trivandrum (Intensity III),INTENSITY,76.95,8.48,3.0,null,null,1782.775
Nokhania (Intensity VIII),INTENSITY,69.71,23.38,8.0,30.9342,43.3439,40.204
Bhimasar (Nakhatrana) (Intensity VIII),INTENSITY,69.37,23.43,8.0,26.703,41.1199,74.278
Indore (Intensity V),INTENSITY,75.9,22.71,5.0,1.8095,3.7319,553.805
Adilabad (Intensity III),INTENSITY,78.53,19.69,3.0,null,null,923.096
Kukma (Intensity IX),INTENSITY,69.78,23.22,9.0,54.1135,92.55,40.839
Kothara (Intensity VII),INTENSITY,68.92,23.13,7.0,13.4147,18.3869,125.379
Ramanvav (Intensity X),INTENSITY,70.48,23.52,9.0,75.8097,104.4268,7.609
Mahemdavad (Intensity VII),INTENSITY,72.75,22.85,7.0,11.5057,17.4033,237.945
Lakadia (Intensity IX),INTENSITY,70.57,23.33,9.0,58.775,95.3297,28.927
Udaipur (Intensity VI),INTENSITY,73.69,24.59,6.0,6.1986,7.9793,342.588
Ajmer (Intensity V),INTENSITY,74.42,26.27,5.0,1.8095,3.7319,494.449
Kunthkot,INTENSITY,70.55373,23.40079,9.0,63.0102,97.735,21.637
Suigam (Intensity VIII),INTENSITY,71.36,24.16,8.0,24.4236,39.8267,107.791
Kantkot (Intensity X),INTENSITY,70.47,23.48,9.0,74.0824,103.5684,11.01
Hyderabad (Intensity VII),INTENSITY,68.38,25.25,7.0,11.2126,17.2432,265.0
Kadol (Intensity X),INTENSITY,70.28,23.47,9.0,75.8097,104.4268,4.775
Kera (Intensity VIII),INTENSITY,69.58,23.07,8.0,27.3621,41.4805,67.091
Palanpur (Intensity VII),INTENSITY,72.45,24.2,7.0,11.8567,17.5917,209.891
Bibat,INTENSITY,69.43964,23.45195,7.0,15.5805,19.3993,67.135
Lucknow (Intensity III),INTENSITY,80.94,26.95,3.0,null,null,1110.742
Kotada (Intensity VII),INTENSITY,69.2,23.36,7.0,14.4418,18.8792,92.152
Kadi (Intensity VII),INTENSITY,72.32,23.3,7.0,12.2139,17.7796,185.442
Nagar,INTENSITY,69.64822,23.22477,8.0,29.0821,42.396,52.02
Bhadva,INTENSITY,70.90245,22.07515,6.0,7.1972,8.4177,160.846
Chidambaram (Intensity II),INTENSITY,79.76,11.4,2.0,null,null,1645.077
Ahmedabad (Intensity VII),INTENSITY,72.06,23.0,7.0,12.5204,17.9382,167.218
Nakhatrana (Intensity VIII),INTENSITY,69.27,23.34,8.0,25.8305,40.6335,85.325
Ludbai (Intensity VII),INTENSITY,69.14,23.59,7.0,14.1967,18.7638,98.979
Rampura (Intensity VII),INTENSITY,70.62,21.8,7.0,12.329,17.8395,178.323
Ratadia,INTENSITY,69.72807,22.90645,7.0,15.464,19.3472,69.271
Barla,INTENSITY,72.40751,22.79845,6.0,6.7724,8.2363,207.336
Dumra (Intensity VIII),INTENSITY,69.03,23.04,8.0,23.8956,39.5162,118.085
Amreli (Intensity VII),INTENSITY,71.02,21.06,7.0,11.191,17.2314,267.136
Jafarabad (Intensity VII),INTENSITY,71.35,20.85,7.0,10.8842,17.0607,300.939
