name,network,longitude,latitude,intensity_mmi,pga,pgv,distance_km
Budhamor,INTENSITY,70.06528,23.2802,9.0,65.9918,99.3667,17.84
Neyveli (Intensity II),INTENSITY,79.49,11.61,2.0,null,null,1609.617
Panjim (Intensity III),INTENSITY,78.85,15.5,3.0,null,null,1234.057
Santalpur,INTENSITY,70.87161,23.78766,7.0,17.2584,20.123,43.81
Unjha (Intensity VII),INTENSITY,72.4,23.8,7.0,12.0752,17.7071,194.491
Bikaner (Intensity V),INTENSITY,73.31,28.03,5.0,1.8095,3.7319,565.666
Khedol (Intensity IX),INTENSITY,69.89,23.05,9.0,52.2187,91.3761,47.389
Jhunjhuvada,INTENSITY,71.67771,23.31909,7.0,13.5075,18.4324,121.824
Sankeshver,INTENSITY,71.80097,23.47995,6.0,7.5451,8.5612,132.083
Valsad (Intensity VI),INTENSITY,72.94,20.62,6.0,6.1986,7.9793,401.244
Jodiya (Intensity VIII),INTENSITY,70.28,22.7,8.0,26.3197,40.9075,78.898
Bidada (Intensity VIII),INTENSITY,69.48,22.88,8.0,25.6202,40.5148,88.286
Jhura (Intensity VIII),INTENSITY,69.62,23.42,8.0,29.5308,42.6292,48.8
Laliana (Intensity IX),INTENSITY,70.53,23.26,9.0,56.5339,94.0117,34.023
Mahuva (Intensity VI),INTENSITY,73.15,21.02,6.0,6.1986,7.9793,382.155
Khavda (Intensity VIII),INTENSITY,69.73,23.84,8.0,28.4024,42.0385,57.416
Jhabua (Intensity VI),INTENSITY,74.67,22.47,6.0,6.1986,7.9793,436.903
Anjar (Intensity IX),INTENSITY,70.03,23.11,9.0,55.7242,93.5273,36.134
Fatepur (Intensity VII),INTENSITY,71.62,23.4,7.0,13.702,18.5269,114.77
Bidar (Intensity III),INTENSITY,77.5,17.87,3.0,null,null,949.862
Paliyad (Intensity VII),INTENSITY,71.57,22.28,7.0,12.4278,17.8906,172.477
Balasar (Intensity IX),INTENSITY,70.65,23.83,9.0,58.3745,95.0965,29.764
Gandhidham (Intensity IX),INTENSITY,70.16,23.06,9.0,54.2323,92.6227,40.467
Bandhahi (Intensity X),INTENSITY,70.3,23.38,9.0,69.9124,101.4417,14.021
Dewas (Intensity V),INTENSITY,76.05,22.97,5.0,1.8095,3.7319,564.833
Rudramata (Intensity IX),INTENSITY,69.72,23.36,9.0,54.4883,92.779,39.679
Fatehgarh (Intensity IX),INTENSITY,70.83,23.71,9.0,55.5885,93.4456,36.503
Surajbari (Intensity IX),INTENSITY,70.75,23.12,9.0,50.2654,90.1371,55.562
Bhayati J (Intensity IX),INTENSITY,70.92,22.95,9.0,46.2413,87.4834,78.708
Samatara (Intensity VIII),INTENSITY,69.51,23.18,8.0,27.3829,41.4918,66.879
Bhujpar (Intensity VIII),INTENSITY,69.61,22.86,8.0,26.1825,40.831,80.638
Chirai (Intensity X),INTENSITY,70.27,23.22,9.0,59.2566,95.6087,27.958
Amradi (Intensity X),INTENSITY,70.24,23.33,9.0,67.2795,100.0567,16.457
Navsari (Intensity VII),INTENSITY,72.94,20.95,7.0,10.8842,17.0607,373.186
Kodinar (Intensity VII),INTENSITY,70.7,20.7,7.0,10.9132,17.0769,296.686
Adesar (Intensity IX),INTENSITY,71.02,23.55,9.0,50.742,90.4422,53.416
Mirpurkhas (Intensity VI),INTENSITY,69.01,25.52,6.0,6.4468,8.0922,254.676
Sumrasar (Intensity VIII),INTENSITY,69.71,23.44,8.0,31.0622,43.408,39.517
Pune (Intensity IV),INTENSITY,73.9,18.51,4.0,0.3452,0.8443,649.181
Mahesana (Intensity VII),INTENSITY,72.4,23.6,7.0,12.1069,17.7237,192.374
Adlaj (Intensity VII),INTENSITY,72.37,23.17,7.0,12.1057,17.7231,192.455
Bavla (Intensity VII),INTENSITY,72.35,22.85,7.0,11.9957,17.6652,199.931
Kanyabe (Intensity IX),INTENSITY,69.99,23.28,9.0,63.4819,97.9963,20.973
Bed (Intensity VIII),INTENSITY,69.9,22.44,8.0,24.4245,39.8272,107.775
Chittaurgarh (Intensity IV),INTENSITY,74.63,24.88,4.0,0.3452,0.8443,442.625
Surat (Intensity VII),INTENSITY,72.82,21.2,7.0,10.8842,17.0607,344.503
Layjamoti,INTENSITY,69.20056,22.8557,5.0,3.6149,4.0598,112.421
Jaunpur (Intensity III),INTENSITY,82.69,25.73,3.0,null,null,1248.539
Chennai (Intensity IV),INTENSITY,80.29,13.04,null,null,null,1537.672
Varsana (Intensity IX),INTENSITY,70.21,23.16,9.0,57.6287,94.6597,31.405
Matiari (Intensity VI),INTENSITY,68.44,25.6,6.0,6.2408,7.9987,291.632
Kanpur (Intensity III),INTENSITY,80.35,26.48,3.0,null,null,1039.775
Barmer (Intensity VI),INTENSITY,71.38,25.75,6.0,6.4504,8.0938,254.075
Dholka,INTENSITY,72.48519,22.70672,6.0,6.6887,8.1997,218.378
Papanasam (Intensity II),INTENSITY,79.27,10.92,2.0,null,null,1659.346
Kunjisar (Intensity X),INTENSITY,70.34,23.37,9.0,67.2583,100.0454,16.479
Padadhari (Intensity VII),INTENSITY,70.58,22.44,7.0,13.7531,18.5517,113.0
Moradabad (Intensity IV),INTENSITY,78.77,28.93,4.0,0.3452,0.8443,1014.29
Nakhtarana,INTENSITY,69.24893,23.31743,6.0,8.3198,8.8662,87.838
Quetta (Intensity II),INTENSITY,67.02,30.31,null,null,null,818.214
Talaja (Intensity VII),INTENSITY,72.05,21.35,7.0,11.0375,17.1464,282.985
Surbari (Intensity VIII),INTENSITY,70.71,23.22,8.0,30.1571,42.9508,44.707
Sanghar (Intensity VI),INTENSITY,68.94,26.05,6.0,6.1986,7.9793,311.012
Bhubaneswar (Intensity II),INTENSITY,85.52,20.15,2.0,null,null,1581.217
Motayaksh (Intensity VIII),INTENSITY,69.34,23.27,8.0,26.2478,40.8674,79.804
Jalore (Intensity V),INTENSITY,72.58,25.22,5.0,1.9127,3.7572,277.297
Ranpur (Intensity VII),INTENSITY,71.7,22.38,7.0,12.4203,17.8867,172.912
Desalpar (Intensity VII),INTENSITY,69.18,23.47,7.0,14.3846,18.8524,93.691
Dholavira (Intensity VIII),INTENSITY,70.22,23.88,8.0,31.1694,43.4616,38.953
Rajkot (Intensity VII),INTENSITY,70.79,22.29,7.0,13.168,18.2651,135.481
Gwalior (Intensity V),INTENSITY,78.18,26.22,5.0,1.8095,3.7319,826.413
Baran (Intensity V),INTENSITY,76.55,25.08,5.0,1.8095,3.7319,633.361
Bhimasar (Intensity IX),INTENSITY,70.16,23.18,9.0,59.139,95.5407,28.191
Rampur Wekra (Intensity VIII),INTENSITY,69.47,23.08,8.0,26.573,41.0481,75.806
Morgar,INTENSITY,70.15156,23.29302,9.0,67.0734,99.9468,16.67
Khari,INTENSITY,68.65746,23.42808,5.0,2.991,3.9673,147.08
Gamdau (Intensity X),INTENSITY,70.55,23.42,9.0,64.4549,98.5316,19.683
Mumbai (Intensity V),INTENSITY,72.8,18.95,5.0,1.8095,3.7319,551.894
Dhar (Intensity VI),INTENSITY,74.29,22.58,6.0,6.1986,7.9793,396.318
Una (Intensity VII),INTENSITY,71.03,20.8,7.0,10.9335,17.0883,294.396
Cuddapah (Intensity II),INTENSITY,78.98,14.47,2.0,null,null,1327.484
Adbasa (Intensity VII),INTENSITY,68.79,23.27,7.0,13.1786,18.2703,135.028
Navapur (Intensity V),INTENSITY,73.93,21.13,5.0,1.8095,3.7319,434.384
Gondal (Intensity VIII),INTENSITY,70.77,21.8,8.0,21.5156,38.059,182.961
Jambusar (Intensity VII),INTENSITY,72.81,22.05,7.0,11.0449,17.1504,282.201
Billimoria (Intensity VII),INTENSITY,72.98,22.78,7.0,11.2392,17.2579,262.393
Gidhra,INTENSITY,69.24806,22.90785,5.0,3.7886,4.0831,105.18
Karachi (Intensity V),INTENSITY,67.04,24.51,5.0,1.8095,3.7319,332.567
Chobari (Intensity X),INTENSITY,70.33,23.52,9.0,75.8097,104.4268,1.95
Mehsana,INTENSITY,72.28578,23.47854,6.0,6.9991,8.334,180.714
Rewari (Intensity IV),INTENSITY,76.59,28.22,4.0,0.3452,0.8443,796.012
Amrasar (Intensity X),INTENSITY,70.28,23.41,9.0,75.0415,104.0466,10.434
Sriharikota (Intensity IV),INTENSITY,80.3,13.45,null,null,null,1504.433
Bareilly (Intensity III),INTENSITY,79.41,28.35,3.0,null,null,1034.553
Dhandhuka (Intensity VII),INTENSITY,71.98,22.37,7.0,12.0799,17.7096,194.174
Ankleshwar (Intensity VII),INTENSITY,72.98,21.65,7.0,10.8842,17.0607,322.434
Gadhisisa (Intensity VIII),INTENSITY,70.55,23.42,8.0,36.7077,46.0832,19.683
Dahisara (Intensity VIII),INTENSITY,69.52,23.1,8.0,27.0583,41.3149,70.292
Bagodara (Intensity VII),INTENSITY,72.2,22.65,7.0,12.0629,17.7006,195.324
Adhai,INTENSITY,70.60202,23.37014,9.0,60.1076,96.0982,26.343
Khairpur (Intensity VI),INTENSITY,68.44,27.28,6.0,6.1986,7.9793,455.654
Jambuda (Intensity VII),INTENSITY,70.22,22.52,7.0,14.2815,18.8038,96.547
Dudai,INTENSITY,69.99362,23.24555,8.0,35.0218,45.3138,23.951
Kundla (Intensity VII),INTENSITY,71.3,21.36,7.0,11.395,17.3432,247.735
Allahabad (Intensity III),INTENSITY,81.85,25.46,3.0,null,null,1161.313
Dhori (Intensity VIII),INTENSITY,70.43,22.56,8.0,25.086,40.2102,96.401
